iter	RMSE
0	0.3817828555
1	0.3655702146
2	0.3502534696
3	0.3357508399
4	0.3224347346
5	0.3101029337
6	0.2986640281
7	0.2879551432
8	0.2777374238
9	0.2684684989
10	0.2598564596
11	0.2517866906
12	0.2442809418
13	0.2371264686
14	0.2304812714
15	0.2241541163
16	0.2180550113
17	0.2124212381
18	0.2073830363
19	0.2024346519
20	0.1978936367
21	0.1937600864
22	0.1898235605
23	0.1861867734
24	0.1827248854
25	0.1793786917
26	0.1764742466
27	0.1735070037
28	0.1709148295
29	0.1683189996
30	0.1656427524
31	0.1633419475
32	0.1610904555
33	0.1591272005
34	0.1571701522
35	0.1552660948
36	0.1536183721
37	0.1520432993
38	0.1505635938
39	0.1491417064
40	0.1476926069
41	0.1462895894
42	0.1447934093
43	0.1435993746
44	0.1422927908
45	0.1410754512
46	0.1401281803
47	0.1391109575
48	0.1382557602
49	0.1373745817
50	0.1364780143
51	0.1355343386
52	0.1347678188
53	0.1340420892
54	0.1334823208
55	0.1328659744
56	0.1321835103
57	0.1315079149
58	0.1309362989
59	0.1302947485
60	0.1297175851
61	0.1289586458
62	0.128421319
63	0.1279129057
64	0.1274767581
65	0.1270564634
66	0.1266009318
67	0.1261896785
68	0.1256958285
69	0.1252913566
70	0.1249970591
71	0.1245978313
72	0.1242921986
73	0.1237968236
74	0.1233449877
75	0.1229568768
76	0.1227003737
77	0.1223611451
78	0.122067644
79	0.121775901
80	0.1215793615
81	0.1211753566
82	0.1209397719
83	0.1206674361
84	0.1203916265
85	0.1201407914
86	0.1198174802
87	0.1195231999
88	0.1193898962
89	0.1190964652
90	0.1187730372
91	0.1185966949
92	0.1182888831
93	0.1179042559
94	0.1176565015
95	0.1173135994
96	0.1172384939
97	0.1169808812
98	0.1169462927
99	0.1167730341
100	0.1166207323
101	0.1164665185
102	0.1162789216
103	0.1162553494
104	0.1161140581
105	0.1158731904
106	0.1157272783
107	0.1155140331
108	0.115357064
109	0.1151254192
110	0.1149291398
111	0.1148352517
112	0.1147137437
113	0.1145545247
114	0.1144924638
115	0.1143209734
116	0.1141984085
117	0.1139685927
118	0.1139105652
119	0.1137758424
120	0.1137157379
121	0.1136134839
122	0.1135435468
123	0.1133107749
124	0.1132139848
125	0.1130889246
126	0.1129160614
127	0.1128166773
128	0.1126119249
129	0.1124667195
130	0.1122943489
131	0.1122145842
132	0.1121474666
133	0.1121293378
134	0.1118272906
135	0.1114987687
136	0.111274164
137	0.1109261091
138	0.1108302464
139	0.1107996236
140	0.1107058139
141	0.1106510114
142	0.1104332533
143	0.1103146405
144	0.1102084713
145	0.1101089898
146	0.1099989413
147	0.1098918778
148	0.1095968363
149	0.1095136317
150	0.1093808187
151	0.1093207869
152	0.1091357527
153	0.1090636399
154	0.1089120764
155	0.1088856239
156	0.108746721
157	0.1085645343
158	0.1085121406
159	0.1082787918
160	0.1081998814
161	0.1081429502
162	0.1080990658
163	0.1080044669
164	0.1077429763
165	0.1074815433
166	0.1073155075
167	0.1072233772
168	0.1071972036
169	0.1071221067
170	0.1070403821
171	0.10696778
172	0.1069493236
173	0.1068985797
174	0.106823132
175	0.1066785086
176	0.1065478955
177	0.1065419712
178	0.1064299245
179	0.1061796743
180	0.1059496092
181	0.1059065453
182	0.1058616535
183	0.1058376833
184	0.1055681245
185	0.105484303
186	0.1052737211
187	0.1051530019
188	0.1050454889
189	0.1049713077
190	0.1049413251
191	0.1048145507
192	0.1047830937
193	0.1047339233
194	0.1045248866
195	0.1043576597
196	0.104298418
197	0.1041643621
198	0.1041110137
199	0.1040407841
