feature_value,count,mean_error_log_abs,mean_error_real_abs,mean_error_pct,std_error_log_abs
"(1.249, 3.585]",146,0.10835330327738507,31618.70587120333,10.864864139451306,0.09677734329235271
"(-4.2010000000000005, -1.355]",153,0.09500886390172249,9071.36668027075,10.158019415471337,0.11080794578665876
"(-0.213, 0.0527]",146,0.09301281363375323,14235.990498357938,9.560874657963568,0.09978573709362615
"(-0.895, -0.521]",149,0.08437009804630365,10447.171305585518,8.67188074700127,0.08801497651005158
"(0.804, 1.249]",145,0.08418953583087199,20046.5526500144,8.303343600391946,0.07228979670585003
"(0.53, 0.804]",145,0.08218169938418544,16408.972827741094,8.457332249584619,0.08094587784234561
"(-1.355, -0.895]",139,0.07867482035463158,8728.015357761858,8.227036385227796,0.09039896150654463
"(0.0527, 0.284]",146,0.07632681317948001,13835.59299471936,7.551091401399475,0.08131605038539491
"(-0.521, -0.213]",142,0.07097594074415418,9792.962438470986,7.486286740500729,0.09692988257630114
"(0.284, 0.53]",147,0.06770439079203572,13859.704931608556,6.771243395877566,0.05600738026882296
