feature_value,count,mean_error_log_abs,mean_error_real_abs,mean_error_pct,std_error_log_abs
"(-2.226, -1.094]",168,0.11707697688850541,12621.477917499466,12.152417727788592,0.11632910225893152
"(1.332, 4.327]",146,0.09425790974463241,28765.78743143617,9.505075429115724,0.09610773575036913
"(0.207, 0.415]",146,0.09003010914771335,15918.449751547969,9.243096382174496,0.09801529845147704
"(-0.835, -0.415]",148,0.08956899415026318,11327.237880602695,9.549772718731555,0.10312607163254539
"(-1.094, -0.835]",124,0.08413881264342069,9489.350355173041,8.763801322637883,0.09071756024423251
"(-0.151, 0.0351]",101,0.07653823740319352,13638.635867656565,7.724486917491892,0.07879239131799762
"(0.693, 1.332]",145,0.07601286159173237,17741.444426624388,7.742492915048846,0.0726100398418095
"(0.0351, 0.207]",148,0.07312448534821159,13275.215762833293,7.504006247112096,0.06988856370366832
"(0.415, 0.693]",144,0.07273951944729813,14364.94250398621,7.263645297563124,0.07580344785672372
"(-0.415, -0.151]",188,0.0661057363224725,11201.274504350959,6.51530039983459,0.06398580891648233
