feature_value,count,mean_error_log_abs,mean_error_real_abs,mean_error_pct,std_error_log_abs
"(0.999, 5.0]",538,0.09508632624465613,10860.693979592175,9.884432462510189,0.10473187318799297
"(7.0, 8.0]",168,0.09178364799599384,25560.115142683306,9.351193613784051,0.09142090362596682
"(8.0, 10.0]",59,0.08741952322672812,37427.16745979591,8.467009649569679,0.08158809604730054
"(5.0, 6.0]",374,0.07537096935212145,11966.564910586918,7.575320406657591,0.07356575384024054
"(6.0, 7.0]",319,0.0715324011148808,14939.503549631883,7.340556017789398,0.0737147707319329
