feature_value,count,mean_error_log_abs,mean_error_real_abs,mean_error_pct,std_error_log_abs
"(1949.999, 1961.4]",292,0.11335780185659165,12739.78689614316,11.862511857848709,0.1163971542074905
"(2006.0, 2010.0]",143,0.09577596992208358,24059.481464283075,9.688061563619495,0.10014603952851474
"(1961.4, 1971.0]",159,0.08256702356118627,12028.838008346695,8.356491348795005,0.08133529176994474
"(1980.0, 1994.0]",158,0.07782666249211999,15595.18162527621,7.831361027840831,0.0814366047959284
"(1994.0, 1998.0]",128,0.07688602988006006,17395.392582413093,7.642424645506942,0.0725778343680771
"(1971.0, 1980.0]",141,0.07551878822168238,11763.926350739643,8.012816080996567,0.08791505277637665
"(2005.0, 2006.0]",97,0.0746802957459618,17310.93580226889,7.537422639653876,0.07813509192401354
"(2002.0, 2005.0]",186,0.06994971556598213,14067.248149141176,7.122525083969026,0.06997672352229992
"(1998.0, 2002.0]",154,0.06348064116342307,12132.546339356286,6.389256145317097,0.05556977245186418
