,xgboost,lightgbm,catboost,correlation,lasso,combined
MasVnrArea,0.0007274129951838404,6.8,0.07912061528016845,0.3996213741331261,0.0,0.08060015496459584
GarageQual_TA,0.00979532115161419,2.4,1.3378319594910597,0.3304746794724057,0.0,0.08030629352409845
FireplaceQu_Gd,0.006752924993634224,4.2,0.1077431471043144,0.34585156008597967,0.004897234743242758,0.07934913277545205
Condition1_Norm,0.001551807695068419,11.8,0.3255701722038082,0.1193669851524445,0.010754766188886225,0.07932270618612865
BsmtQual_TA,0.003075752063887194,2.2,0.030553776657057347,0.4777913246909718,0.0,0.07855106914578178
ExterQual_Gd,0.0001901459094369784,1.2,0.017419361717656824,0.5099389970329471,0.0,0.07683126768689671
KitchenQual_Gd,0.007354161838884465,2.8,0.023064011508804896,0.4068857857219266,0.0,0.07461014265940893
BsmtFinType1_GLQ,0.0023811013728845865,2.0,0.13308751527219234,0.44136337415249915,0.0,0.07322663141424851
SaleCondition_Normal,0.004011473013088107,14.8,0.37688815525924213,0.10193486322363987,0.0,0.07103506592884333
BsmtExposure_Gd,0.004721798561513424,6.2,0.43018739189704674,0.2724479522801959,0.0,0.06867679747801203
HeatingQC_TA,0.0007817131699994206,2.2,0.05777337679693092,0.3354654881669053,0.004992389676785659,0.06497295873610956
SaleType_New,0.0025361848529428244,3.8,0.15364886798826466,0.3313501121399869,0.0,0.06382398025049316
LotShape_Reg,0.005691903666593135,4.8,0.10052297286368946,0.2898471746703844,0.0,0.06370623901594442
Functional_Typ,0.00549524906091392,10.4,0.4099701688635845,0.133526949038405,0.0,0.063102664400512
GarageFinish_Fin,0.00046201196892070584,0.4,0.052793053226078655,0.41961146051702886,0.0,0.06206968835876404
PavedDrive_Y,0.0035945331343100405,4.4,0.0347044682437748,0.29995327468051874,0.0,0.06097219110950919
GarageCond_TA,0.0003119515837170184,1.8,0.04548807970673245,0.3657841050767474,0.0,0.05872695335640917
BsmtQual_Gd,0.0007130132929887622,0.4,0.7472543473744095,0.33459938105079917,0.0,0.05837399455955098
Foundation_CBlock,0.0030183770402800294,1.6,0.005250933194334684,0.3379090787471659,0.0,0.05634922672310988
EnclosedPorch,0.001841065171174705,6.6,0.1002957002397892,0.216523251141285,0.0,0.05526844326178244
SaleCondition_Partial,0.0003872729954309762,1.6,0.18330104506638575,0.3265348929377381,0.0,0.05418580536011081
ScreenPorch,0.001945036882534623,7.8,0.10988362427067404,0.09947610445481571,0.0050187119398188,0.051425368938526596
HalfBath,0.0012237387709319592,1.2,0.06764202769404384,0.31418552833083063,0.0,0.05060993673459939
YrSold,0.0011462359805591404,13.0,0.11465069015999538,0.03715086820447491,0.0,0.05002575275303675
KitchenAbvGr,0.017583571560680866,2.4,0.14787131660751332,0.14753419398790557,0.0,0.04812277547128785
GarageType_<None>,0.0,0.0,0.15433063899505467,0.3229938307572051,0.0,0.04775473943401004
MasVnrType_Stone,0.00041382575873285534,0.6,0.0,0.3132805987309512,0.0,0.046927079014046164
Electrical_SBrkr,0.0004850471392273903,0.8,0.03896109132569635,0.3048565205538502,0.0,0.0469070626271553
BedroomAbvGr,0.0014206426159944386,3.8,0.06410289858281408,0.20903545058831152,0.00150379115483046,0.046861996711365136
MoSold,0.0008195368922315538,10.8,0.18867765764848393,0.05706448720848939,0.0,0.04624980762634191
BsmtFullBath,0.0003734205776709132,1.8,0.19240186368529177,0.23709938237318653,0.0,0.042206840994233955
LotConfig_CulDSac,0.0015008862828835845,5.8,0.056490893952294986,0.14834785533965245,0.0,0.04211649302325925
MSZoning_C (all),0.008178891986608506,0.0,0.5722976477153376,0.18837358697860243,0.0,0.041695743336169946
HouseStyle_2Story,3.958403540309519e-05,1.0,0.0031782325613762654,0.2633051298865386,0.0,0.04078088096985912
GarageFinish_RFn,0.000675194151699543,1.2,0.012683874073289095,0.23745366618745015,0.0,0.0385013883773397
BsmtCond_Fa,0.002535840084601659,3.4,0.08758784580949919,0.16754512049996512,0.0,0.03844823098617816
MasVnrType_BrkFace,0.00037890601233812047,0.8,0.03309333021929002,0.23159234658310254,0.0,0.036310458970438386
Electrical_FuseA,0.0005780086270533502,0.4,0.016988057858238877,0.23894056408826445,0.0,0.03606615454241883
SaleType_WD,0.0023342404514551164,0.8,0.004895034766211234,0.21237173286939406,0.0,0.03520308415652642
ExterCond_Fa,0.0036905477871187033,0.4,0.08369425607133177,0.19920628136858362,0.0,0.03431241715059672
FireplaceQu_TA,0.0007278369448613375,0.4,0.02653767738759031,0.2125061715784752,0.0,0.03256797295272024
KitchenQual_Fa,0.0009675911802332849,0.2,0.006015310950219935,0.2155078747609023,0.0,0.032344263788762255
GarageType_BuiltIn,0.00015727886639069766,0.0,0.0,0.22302378893356198,0.0,0.031881651334417956
RoofStyle_Gable,0.0005865839659236372,1.2,0.02413488411326958,0.18901321235224686,0.0,0.03165654480227979
MSZoning_FV,0.0009978739020880313,3.8,0.08366762367719535,0.12034223760704872,0.0,0.03144819037430141
MSSubClass,0.00027752379537560046,4.8,0.35024295627635293,0.07396914505916492,0.00021104471977339032,0.030872817080775678
FireplaceQu_Ex,0.00033767365384846927,0.0,0.0,0.20915547125477468,0.0,0.030089528892301973
RoofStyle_Hip,0.000868102943059057,0.0,0.012539195201385838,0.19858608441789466,0.0,0.029264152748064143
HeatingQC_Fa,0.0006860649562440812,0.6,0.029952662650357266,0.18060209008016434,0.0,0.028677973326357607
ExterCond_TA,0.0012862538103945553,2.6,0.015258057213916886,0.12785140285497834,0.0,0.028102717291413244
Alley_Grvl,0.00041293016402050854,1.0,0.044618928862177755,0.1653718774615893,0.0,0.02771010662199591
Fence_GdWo,0.0023108112945919856,2.4,0.05083920042078185,0.11768354892901452,0.0,0.02744940041268064
GarageQual_Fa,0.0017800710280425846,0.4,0.0174187901538669,0.16122711591063676,0.0,0.026220142185508912
Electrical_FuseF,0.0007867876374803018,0.0,0.11507282116197379,0.16651354407553803,0.0,0.025823228427978493
ExterQual_Fa,7.2551054472569375e-06,0.0,0.003703458726523739,0.1772917596628191,0.0,0.02526971600785893
GarageCond_Fa,0.000962859473656863,0.0,0.016424390266220647,0.1676436574326295,0.0,0.0250031507101892
Fence_MnPrv,0.0007458401145413518,0.8,0.01709773012085178,0.15076111682907498,0.0,0.024992260902677827
LotConfig_Inside,0.0004957118275342509,3.0,0.03223185032854644,0.08939210431764158,0.0,0.02333971484991469
Heating_GasA,0.00021942974999547004,1.2,0.0,0.13427406108826082,0.0,0.02321949251632319
BsmtQual_Fa,0.0004458384501049295,0.0,0.0024015187342166003,0.159511583933475,0.0,0.02316434200875886
BsmtExposure_Av,0.000732621003407985,0.6,0.009998498594138322,0.14202060748836626,0.0,0.023002472786972917
BsmtFinType1_Rec,0.0006834332074504345,0.8,0.023963717489306372,0.13571396114227324,0.0,0.02286992628838421
Foundation_Slab,2.824943803716451e-05,0.0,0.0,0.15898408598029382,0.0,0.022643103030864593
BsmtFinType1_ALQ,0.003068894345778972,2.6,0.04295304794567223,0.07458341534357169,0.0,0.022634964303113958
Heating_Grav,0.0,0.0,0.025837584797257295,0.14916299109773415,0.0,0.02152087424497427
SaleType_COD,0.001370151829905808,2.2,0.028448777955747684,0.08575803014551805,0.0,0.021053850791775457
BsmtCond_TA,0.0013875395961804315,0.0,0.0,0.13787798238443602,0.0,0.02100159325361569
BsmtFinType1_BLQ,0.0005861822777660563,0.0,0.019327909648484163,0.13154034013060614,0.0,0.01952458056735497
Condition1_Feedr,0.00016750787617638707,0.4,0.0,0.12526289759124157,0.0,0.0192857796161727
BldgType_Duplex,0.002462861395906657,0.0,0.007171604190319434,0.11699630369824214,0.0,0.019191853582782
HeatingQC_Gd,0.0006131908754468896,0.0,0.015140999542967298,0.1265568551679072,0.0,0.01879362796538356
LotShape_IR2,0.0004620639796485193,0.0,0.009439226074327487,0.1253440801862271,0.0,0.018402948409065586
HouseStyle_1Story,0.0006875899154692889,2.0,0.034419287149504,0.07558294896997939,0.0,0.018343242279424188
PavedDrive_P,0.0004968917230144144,1.2,0.00916520607343281,0.09527583158094471,0.0,0.018057418843453642
LandContour_HLS,0.0011537721147760749,0.2,0.017599059257148292,0.11094505555756093,0.0,0.01779289000925961
BsmtFinType1_Unf,0.0013051279878709466,0.8,0.0,0.09713310961258227,0.0,0.017723240147992727
BsmtFinType2_Unf,0.0,0.0,0.0,0.12230860910083953,0.0,0.017397889680023704
RoofMatl_WdShngl,0.00033137392019852994,0.0,0.007130068276367599,0.11891691738485641,0.0,0.017330796164016928
BsmtFinSF2,0.000683282595127821,2.8,0.056237371540464265,0.03464573200150442,0.0008152781659151784,0.016783293012494146
Functional_Maj2,0.0010737192002125084,0.0,0.05696434759189941,0.10385970308086206,0.0,0.016516639025659214
BldgType_2fmCon,0.0,0.0,0.003657813819403859,0.11016342447545466,0.0,0.015713191955690993
BldgType_Twnhs,1.0727205517468973e-05,0.0,0.0,0.10911208025688156,0.0,0.015531477165176959
HouseStyle_1.5Unf,0.00030536322738043963,0.0,0.002735096473517155,0.10571020082045789,0.0,0.015374606649180066
BsmtCond_Gd,0.00016044708318077027,0.0,0.0,0.10610452116425588,0.0,0.01525354459678205
GarageType_CarPort,0.0023723789723590015,0.0,0.020608974165305223,0.08599750679133789,0.0,0.014849437653008097
FireplaceQu_Po,0.0013477233471348882,0.0,0.029645010516117797,0.08417264657342698,0.0,0.013670093990669136
HouseStyle_SFoyer,0.0,0.0,0.0,0.09592246896538101,0.0,0.013644571262512551
